id,short_name,long_name,shape_id,route_id1,proof_of_payment,ft_mode,vehicle_name,,route_id
244,MK073,73 JCPK-I5-SEA EX S*,110244,1073,0,premium_bus,premium_bus1,,1_1073
329,MK139,139 GRG HT-BURIEN NB,110329,1139,0,local_bus,local_bus1,,1_1139
175,MK046,46 SHLSHL-BLRD-UW EB,110175,1046,0,local_bus,local_bus1,,1_1046
586,MK886,886 School,110586,1886,0,local_bus,local_bus1,,1_1886
769,PT496,496 Sumner Sounder *,110769,2496,0,premium_bus,premium_bus1,,1_2496
775,PT045,45 YAKIMA,110775,2045,0,local_bus,local_bus1,,1_2045
776,PT045,45 YAKIMA,110776,2045,0,local_bus,local_bus1,,1_2045
791,PT408,408 Sumner to Bonne*,110791,2408,0,local_bus,local_bus1,,1_2408
825,PT202,202 72ND STREET,110825,2202,0,local_bus,local_bus1,,1_2202
826,PT202,202 72ND STREET,110826,2202,0,local_bus,local_bus1,,1_2202
291,MK119,119 DKTN-VASH-SEA NB,110291,1119,0,local_bus,local_bus1,,1_1119
293,MK119,119 DCKTN-VSH HTS SB,110293,1119,0,local_bus,local_bus1,,1_1119
854,WFFSW,WSF FAUNTLR-SWRTH WB,110854,5003,0,ferry,ferry1,,1_5003
865,WFFAV,WSF FAUNTLR-VASHN EB,110865,5002,0,ferry,ferry1,,1_5002
855,WFPDT,WSF PT DEFI-TAHLQ SB,110855,5004,0,ferry,ferry1,,1_5004
856,WFPDT,WSF PT DEFI-TAHLQ NB,110856,5004,0,ferry,ferry1,,1_5004
594,MK901,901 MIR LK-FED TC W*,110594,1901,0,local_bus,local_bus1,,1_1901
927,KT005,5 CEDAR HEIGHTS,110927,4005,0,local_bus,local_bus1,,1_4005
928,KT005,5 CEDAR HEIGHTS,110928,4005,0,local_bus,local_bus1,,1_4005
992,KT008,8 TREMONT NB,110992,4008,0,local_bus,local_bus1,,1_4008
952,KT091,91 INDIANOLA-BAIN,110952,4091,0,premium_bus,premium_bus1,,1_4091
991,KT091,91 INDIANOLA-BAIN SB,110991,4091,0,premium_bus,premium_bus1,,1_4091
999,KTWD04,WD04 LONG LAKE DY NB,110999,4204,0,local_bus,local_bus1,,1_4204
1019,KTWD05,WD05 MANCHSTR BCH NB,111019,4205,0,local_bus,local_bus1,,1_4205
958,KTFF1,FT FER BREM-PT OR,110958,4501,0,ferry,ferry1,,1_4501
959,KTFF1,FT FER BREM-PT OR,110959,4501,0,ferry,ferry1,,1_4501
972,KTFF2,FT FER BREM-ANNAP,110972,4502,0,ferry,ferry1,,1_4502
973,KTFF2,FT FER BREM-ANNAP,110973,4502,0,ferry,ferry1,,1_4502
364,MK168,168 TIMBERLN-KENT WB,110364,1168,0,local_bus,local_bus1,,1_1168
365,MK168,168 TIMBERLN-KENT EB,110365,1168,0,local_bus,local_bus1,,1_1168
980,KT012,12 SILVERDLE WEST,110980,4012,0,local_bus,local_bus1,,1_4012
982,KT012,12 SILVERDLE WEST,110982,4012,0,local_bus,local_bus1,,1_4012
989,KT041,41 LINCOLN DRIVE,110989,4041,0,local_bus,local_bus1,,1_4041
987,KT035,35 OldTownShuttle,110987,4035,0,local_bus,local_bus1,,1_4035
317,MK129,129 TUKWILA-INTL BL*,110317,1129,0,local_bus,local_bus1,,1_1129
404,MK203,203 N MERCER ISLN E*,110404,1203,0,local_bus,local_bus1,,1_1203
425,MK219,219 FACT-NEWCS CW SB,110425,1219,0,local_bus,local_bus1,,1_1219
788,PT041,41 PORTLAND AVE,110788,2041,0,local_bus,local_bus1,,1_2041
794,PT407,407 Bonney Lake-Pra*,110794,2407,0,local_bus,local_bus1,,1_2407
803,PT300,300 SO TACOMA WAY,110803,2300,0,local_bus,local_bus1,,1_2300
804,PT300,300 SO TACOMA WAY SB,110804,2300,0,local_bus,local_bus1,,1_2300
829,PT002,2 19TH-BRIDGEPORT SB,110829,2002,0,local_bus,local_bus1,,1_2002
832,PT013,13 N 30TH ST,110832,2013,0,local_bus,local_bus1,,1_2013
839,PT100,100  Gig Harbor,110839,2100,0,local_bus,local_bus1,,1_2100
1048,PT051,51 TCC-TCOMA MALL,111048,2051,0,local_bus,local_bus1,,1_2051
946,KT026,26 WEST PARK,110946,4026,0,local_bus,local_bus1,,1_4026
955,KT097,97 CRYSTAL SPRNGS,110955,4097,0,local_bus,local_bus1,,1_4097
956,KT098,98 FORT WARD,110956,4098,0,local_bus,local_bus1,,1_4098
957,KT099,99 BILL POINT,110957,4099,0,local_bus,local_bus1,,1_4099
998,KTWD03,WD03 HORSESHOE LK NB,110998,4203,0,local_bus,local_bus1,,1_4203
406,MK204,204 S MI-MERCR IS SB,110406,1204,0,local_bus,local_bus1,,1_1204
410,MK207,207 NWPRT HS-EGTE EB,110410,1207,0,local_bus,local_bus1,,1_1207
426,MK219,219 FACT-NEWC CCW SB,110426,1219,0,local_bus,local_bus1,,1_1219
763,PT501,501 Milton-Federal *,110763,2501,0,local_bus,local_bus1,,1_2501
777,PT444,444  Parkland-Spana*,110777,2444,0,local_bus,local_bus1,,1_2444
827,PT002,2 19TH-BRIDGEPORT,110827,2002,0,local_bus,local_bus1,,1_2002
828,PT002,2 19TH-BRIDGEPORT,110828,2002,0,local_bus,local_bus1,,1_2002
833,PT013,13 N 30TH ST,110833,2013,0,local_bus,local_bus1,,1_2013
836,PT011,11 POINT DEFIANCE,110836,2011,0,local_bus,local_bus1,,1_2011
1047,PT051,51 TCC-TCOMA MALL,111047,2051,0,local_bus,local_bus1,,1_2051
997,KTWD02,WD02 GLENWOOD NB,110997,4202,0,local_bus,local_bus1,,1_4202
328,MK139,139 GRG HT-BURIEN SB,110328,1139,0,local_bus,local_bus1,,1_1139
762,PT501,501 Milton-Federal *,110762,2501,0,local_bus,local_bus1,,1_2501
813,PT214,214 WASHINGTON,110813,2214,0,local_bus,local_bus1,,1_2214
814,PT214,214 WASHINGTON,110814,2214,0,local_bus,local_bus1,,1_2214
336,MK148,148 FAIRWD-RENTON EB,110336,1148,0,local_bus,local_bus1,,1_1148
395,MK200,200 ISSAQ-N ISSAQ N*,110395,1200,0,local_bus,local_bus1,,1_1200
335,MK148,148 FAIRWD-RENTON WB,110335,1148,0,local_bus,local_bus1,,1_1148
366,MK169,169 KNT TC-RNT TC NB,110366,1169,0,local_bus,local_bus1,,1_1169
590,MK890,890 LAKEMONT BLVD-I*,110590,1890,0,local_bus,local_bus1,,1_1890
409,MK206,206 NWPRT HS-NEWC N*,110409,1206,0,local_bus,local_bus1,,1_1206
857,WFSBI,WSF SEA-BAINB ISL EB,110857,5005,0,ferry,ferry1,,1_5005
858,WFSBI,WSF SEA-BAINB ISL WB,110858,5005,0,ferry,ferry1,,1_5005
706,CT118,118 AUR VL-ASH WY SB,110706,3118,0,local_bus,local_bus1,,1_3118
707,CT118,118 AUR VL-ASH WY NB,110707,3118,0,local_bus,local_bus1,,1_3118
863,WFSVP,WSF SEA-VASHON PO NB,110863,5007,0,ferry,ferry1,,1_5007
864,WFSVP,WSF SEA-VASHON PO SB,110864,5007,0,ferry,ferry1,,1_5007
859,WFSBR,WSF SEA-BREMERTON EB,110859,5006,0,ferry,ferry1,,1_5006
860,WFSBR,WSF SEA-BREMERTON WB,110860,5006,0,ferry,ferry1,,1_5006
194,MK053,53 W SEA CIRCL CW SB,110194,1053,0,local_bus,local_bus1,,1_1053
593,MK901,901 MIR LK-FED TC W*,110593,1901,0,local_bus,local_bus1,,1_1901
602,MK913,913DART Kent Statio*,110602,1913,0,local_bus,local_bus1,,1_1913
760,PT052,52 TCC-TCOMA MALL EB,110760,2052,0,local_bus,local_bus1,,1_2052
761,PT052,52 TCC-TCOMA MALL WB,110761,2052,0,local_bus,local_bus1,,1_2052
346,MK155,155 FAIRWD-SOCNTR WB,110346,1155,0,local_bus,local_bus1,,1_1155
347,MK155,155 FAIRWD-SOCNTR EB,110347,1155,0,local_bus,local_bus1,,1_1155
797,PT402,402 MERIDIAN,110797,2402,0,local_bus,local_bus1,,1_2402
798,PT402,402 MERIDIAN,110798,2402,0,local_bus,local_bus1,,1_2402
343,MK153,153 KENT-RENTON NB,110343,1153,0,local_bus,local_bus1,,1_1153
795,PT406,406 BUCKLEY,110795,2406,0,local_bus,local_bus1,,1_2406
796,PT406,406 BUCKLEY,110796,2406,0,local_bus,local_bus1,,1_2406
977,KT036,36 RIDGETOP SHTTL,110977,4036,0,local_bus,local_bus1,,1_4036
988,KT037,37 FAIRGRNDS SHTL,110988,4037,0,local_bus,local_bus1,,1_4037
585,MK885,885 BELLEVUE TC-WIL*,110585,1885,0,local_bus,local_bus1,,1_1885
589,MK889,889 HOUGHTON-INTNL *,110589,1889,0,local_bus,local_bus1,,1_1889
728,PT060,60  Port of Tacoma,110728,2060,0,local_bus,local_bus1,,1_2060
350,MK156,156 Scnter-S Tac-De*,110350,1156,0,local_bus,local_bus1,,1_1156
615,MK926,926 CROSSRDS-EGTE SB,110615,1926,0,local_bus,local_bus1,,1_1926
591,MK891,891 Mercer I-MIHS**,110591,1891,0,local_bus,local_bus1,,1_1891
768,PT497,497 Lakeland Hills *,110768,2497,0,premium_bus,premium_bus1,,1_2497
704,CT119,LynwoodTC-Meadowdale,110704,3119,0,local_bus,local_bus1,,1_3119
705,CT119,Meadowdale-LynwoodTC,110705,3119,0,local_bus,local_bus1,,1_3119
970,KT086,86 SOUTHWRTH SHTL,110970,4086,0,local_bus,local_bus1,,1_4086
611,MK919,919DARTSE Auburn to*,110611,1919,0,local_bus,local_bus1,,1_1919
52,MK010,10 CAP HILL-SCBD SB*,110052,1010,0,local_bus,local_bus1,,1_1010
480,MK253,253 RED-OVRLK-BEL SB,110480,1253,0,local_bus,local_bus1,,1_1253
481,MK253,253 RED-OVRLK-BEL NB,110481,1253,0,local_bus,local_bus1,,1_1253
361,MK166,166 DES MOIN-KENT WB,110361,1166,0,local_bus,local_bus1,,1_1166
412,MK209,209 NO BND-ISSAQH EB,110412,1209,0,local_bus,local_bus1,,1_1209
603,MK915,915 AUBRN-ENUMCLW NB,110603,1915,0,local_bus,local_bus1,,1_1915
605,MK915,915 AUBRN-ENUMCLW N*,110605,1915,0,local_bus,local_bus1,,1_1915
1018,KTWD01,WD01 BURLEY BUS NB,111018,4201,0,local_bus,local_bus1,,1_4201
1021,KTWD11,WD11 SIDNEY WOODS NB,111021,4211,0,local_bus,local_bus1,,1_4211
1003,KTWD12,WD12 SOUTHWORTH NB,111003,4212,0,local_bus,local_bus1,,1_4212
983,KT012,12 SILVERDLE WEST,110983,4012,0,local_bus,local_bus1,,1_4012
316,MK129,129 TUKWILA-INTL BL*,110316,1129,0,local_bus,local_bus1,,1_1129
362,MK166,166 DES MOIN-KENT EB,110362,1166,0,local_bus,local_bus1,,1_1166
612,MK919,919DARTSE Auburn to*,110612,1919,0,local_bus,local_bus1,,1_1919
609,MK918,918 KENT-NO KENT NB,110609,1918,0,local_bus,local_bus1,,1_1918
623,MK929,929 N BND-FLL CTY S*,110623,1929,0,local_bus,local_bus1,,1_1929
835,PT113,113 Key Peninsula,110835,2113,0,local_bus,local_bus1,,1_2113
696,CT190,190 MUKLTO-EDM CC S*,110696,3190,0,local_bus,local_bus1,,1_3190
748,PT057,57 Tacoma Mall,110748,2057,0,local_bus,local_bus1,,1_2057
808,PT028,28 S 12TH ST,110808,2028,0,local_bus,local_bus1,,1_2028
809,PT028,28 S 12TH ST,110809,2028,0,local_bus,local_bus1,,1_2028
810,PT026,26 M L KING JR WY,110810,2026,0,local_bus,local_bus1,,1_2026
943,KT023,23 KARIOTS/TRCYTN,110943,4023,0,local_bus,local_bus1,,1_4023
964,KT023,23 KARIOTS/TRCYTN SB,110964,4023,0,local_bus,local_bus1,,1_4023
492,MK265,265 RED-HGHT-SCBD W*,110492,1265,0,local_bus,local_bus1,,1_1265
63,MK013,13 SPU-SEA CBD SB,110063,1013,0,local_bus,local_bus1,,1_1013
76,MK015,15 CROWN HLL-SCBD SB,110076,1015,0,local_bus,local_bus1,,1_1015
79,MK015,15 CROWN HLL-SCBD NB,110079,1015,0,local_bus,local_bus1,,1_1015
82,MK016,16 NGT-WLFRD-SCBD NB,110082,1016,0,local_bus,local_bus1,,1_1016
87,MK017,17 LH-BAL-SCBD EX SB,110087,1017,0,premium_bus,premium_bus1,,1_1017
88,MK017,17 LH-BAL-SCBD EX SB,110088,1017,0,premium_bus,premium_bus1,,1_1017
408,MK205,205 M I-1ST HL-UW N*,110408,1205,0,premium_bus,premium_bus1,,1_1205
435,MK230,230 KNGSG-BTC-RED SB,110435,1230,0,local_bus,local_bus1,,1_1230
436,MK230,230 KIRKLN-BEL TC SB,110436,1230,0,local_bus,local_bus1,,1_1230
442,MK232,232 DUVLL-RED-BEL SB,110442,1232,0,local_bus,local_bus1,,1_1232
460,MK242,242 NRTHCTY-OVRLK E*,110460,1242,0,local_bus,local_bus1,,1_1242
463,MK245,245 KRK-OVRLK-FCT SB,110463,1245,0,local_bus,local_bus1,,1_1245
464,MK245,245 KRK-OVRLK-FCT NB,110464,1245,0,local_bus,local_bus1,,1_1245
470,MK249,249 BEL-OVRLK-RDM SB,110470,1249,0,local_bus,local_bus1,,1_1249
484,MK253,253 RED-OVRLK-BEL S*,110484,1253,0,local_bus,local_bus1,,1_1253
114,MK026,26 E GRNL-SCBD EX SB,110114,1026,0,premium_bus,premium_bus1,,1_1026
115,MK026,26 E GRNLK-SEACBD NB,110115,1026,0,local_bus,local_bus1,,1_1026
116,MK026,26 E GRNLK-SEACBD SB,110116,1026,0,local_bus,local_bus1,,1_1026
121,MK028,28 BROADVW-SEACBD SB,110121,1028,0,local_bus,local_bus1,,1_1028
123,MK028,28 BROADVW-SEACBD NB,110123,1028,0,premium_bus,premium_bus1,,1_1028
124,MK028,28 BROADVW-SEACBD SB,110124,1028,0,local_bus,local_bus1,,1_1028
139,MK033,33 MAGNLIA-SEACBD SB,110139,1033,0,local_bus,local_bus1,,1_1033
521,MK330,330 SHRL CC-LKCTY SB,110521,1330,0,local_bus,local_bus1,,1_1330
522,MK330,330 SHRL CC-LKCTY N*,110522,1330,0,local_bus,local_bus1,,1_1330
165,MK043,43 UW-CAP HL-SCBD NB,110165,1043,0,local_bus,local_bus1,,1_1043
166,MK043,43 UW-CAPITL HILL NB,110166,1043,0,local_bus,local_bus1,,1_1043
168,MK043,43 UW-CAP HL-SCBD S*,110168,1043,0,local_bus,local_bus1,,1_1043
179,MK048,48 CLM CTY-LYL HT NB,110179,1048,0,local_bus,local_bus1,,1_1048
183,MK048,48 LYL HT-MTLK EX SB,110183,1048,0,local_bus,local_bus1,,1_1048
185,MK048,48 RAIN BC-LYL HT N*,110185,1048,0,local_bus,local_bus1,,1_1048
551,ST545,545 REDMND-SEACBD EB,110551,6545,0,premium_bus,premium_bus1,,1_6545
215,MK065,65 LKCTY-WDGWD-UW NB,110215,1065,0,local_bus,local_bus1,,1_1065
216,MK065,65 LKCTY-WDGWD-UW S*,110216,1065,0,local_bus,local_bus1,,1_1065
219,MK065,65 LKCTY-WDGWD-UW S*,110219,1065,0,local_bus,local_bus1,,1_1065
634,MK994,994CBDSeattle to La*,110634,1994,0,premium_bus,premium_bus1,,1_1994
635,MK995,995 Laurelhurst to *,110635,1995,0,premium_bus,premium_bus1,,1_1995
188,MK049,49 UW-BROADWAY NB,110188,1049,0,local_bus,local_bus1,,1_1049
468,MK248,248 Avondl-Redmnd T*,110468,1248,0,local_bus,local_bus1,,1_1248
651,ST513,510 Everett-Seattle*,110651,6513,0,premium_bus,premium_bus1,,1_6513
699,CT130,130 LYN TC-AUR VL SB,110699,3130,0,local_bus,local_bus1,,1_3130
722,CT101,101 MAR PR-AUR VL NB,110722,3101,0,local_bus,local_bus1,,1_3101
932,KT013,13 PARKWOOD E LTD,110932,4013,0,local_bus,local_bus1,,1_4013
935,KT017,17 KITSP MALL LTD,110935,4017,0,local_bus,local_bus1,,1_4017
950,KT034,34 BANGOR SHUTTLE,110950,4034,0,premium_bus,premium_bus1,,1_4034
969,KT092,92 POUL-SUQ-KNGST,110969,4092,0,local_bus,local_bus1,,1_4092
985,KT032,32Pouls-Silverdale,110985,4032,0,local_bus,local_bus1,,1_4032
994,KT090,90 POULS TC-BAINB,110994,4090,0,local_bus,local_bus1,,1_4090
995,KT090,90 POL TC-BAIN EX,110995,4090,0,premium_bus,premium_bus1,,1_4090
78,MK015,15 CROWN HLL-SCBD NB,110078,1015,0,premium_bus,premium_bus1,,1_1015
80,MK015,15 CROWN HLL-SCBD NB,110080,1015,0,local_bus,local_bus1,,1_1015
81,MK016,16 NGT-WLFRD-SCBD SB,110081,1016,0,local_bus,local_bus1,,1_1016
92,MK018,18 LOYAL HTS-SCBD NB,110092,1018,0,premium_bus,premium_bus1,,1_1018
94,MK018,18 LOYAL HTS-SCBD NB,110094,1018,0,local_bus,local_bus1,,1_1018
407,MK205,205 M I-1ST HL-UW NB,110407,1205,0,premium_bus,premium_bus1,,1_1205
428,MK221,221 Ed Hill-Xroads *,110428,1221,0,local_bus,local_bus1,,1_1221
466,MK245,245 KRK-OVRLK-FCT S*,110466,1245,0,local_bus,local_bus1,,1_1245
471,MK249,249 BEL-OVRLK-RDM NB,110471,1249,0,local_bus,local_bus1,,1_1249
472,MK249,249 BEL-OVRLK-RDM S*,110472,1249,0,local_bus,local_bus1,,1_1249
474,MK249,249 BEL-OVRLK-RDM S*,110474,1249,0,local_bus,local_bus1,,1_1249
483,MK253,253 RED-OVRLK-BEL S*,110483,1253,0,local_bus,local_bus1,,1_1253
113,MK026,26 E GRNLK-SEACBD SB,110113,1026,0,local_bus,local_bus1,,1_1026
493,MK266,266 REDMND-SEACBD W*,110493,1266,0,local_bus,local_bus1,,1_1266
494,MK268,268 REDMN-SEACBD WB*,110494,1268,0,local_bus,local_bus1,,1_1268
129,MK028,28 BRODVW-SCBD EX SB,110129,1028,0,premium_bus,premium_bus1,,1_1028
130,MK028,28 BRODVW-SCBD EX SB,110130,1028,0,local_bus,local_bus1,,1_1028
131,MK028,28 BRODVW-SCBD EX SB,110131,1028,0,premium_bus,premium_bus1,,1_1028
531,MK347,347 MTLK TER-NGTE SB,110531,1347,0,local_bus,local_bus1,,1_1347
534,MK348,348 RICH BCH-NGTE NB,110534,1348,0,local_bus,local_bus1,,1_1348
174,MK045,45 Q AN-WLNFRD-UW N*,110174,1045,0,premium_bus,premium_bus1,,1_1045
177,MK048,48 RAIN BC-LYL HT NB,110177,1048,0,local_bus,local_bus1,,1_1048
180,MK048,48 RAIN BC-LYL HT SB,110180,1048,0,local_bus,local_bus1,,1_1048
31,MK005,5 SH CC-GRWD-SCBD NB,110031,1005,0,local_bus,local_bus1,,1_1005
33,MK005,5 NGTE-GRNWD-SCBD S*,110033,1005,0,premium_bus,premium_bus1,,1_1005
34,MK005,5 NGTE-GRNWD-SCBD S*,110034,1005,0,local_bus,local_bus1,,1_1005
552,ST545,545 RED-SCBD-HLGT W*,110552,6545,0,premium_bus,premium_bus1,,1_6545
553,ST545,545 RED-SCBD-HLGT W*,110553,6545,0,premium_bus,premium_bus1,,1_6545
554,ST545,545 RED-SCBD-HLGT W*,110554,6545,0,premium_bus,premium_bus1,,1_6545
213,MK064,64 LKCT-WDGW-SCBD S*,110213,1064,0,premium_bus,premium_bus1,,1_1064
227,MK067,67 NORTHGTE TC-UW S*,110227,1067,0,local_bus,local_bus1,,1_1067
228,MK068,68 NORTHGATE-UW SB,110228,1068,0,local_bus,local_bus1,,1_1068
230,MK068,68 NORTHGATE-UW NB,110230,1068,0,local_bus,local_bus1,,1_1068
231,MK068,68 NORTHGATE-UW SB**,110231,1068,0,local_bus,local_bus1,,1_1068
469,MK248,248 Avondl-Redmnd T*,110469,1248,0,local_bus,local_bus1,,1_1248
682,CT270,270 EVRT-GOLD BAR EB,110682,3270,0,local_bus,local_bus1,,1_3270
688,CT222,222 MRYSVL-TULALP EB,110688,3222,0,local_bus,local_bus1,,1_3222
693,CT201,201 SMK PT-LYN TC SB,110693,3201,0,premium_bus,premium_bus1,,1_3201
715,CT112,112 EDM CC-MKLTEO NB,110715,3112,0,local_bus,local_bus1,,1_3112
723,CT101,101 MAR PR-AUR VL SB,110723,3101,0,local_bus,local_bus1,,1_3101
933,KT013,13 PARKWOOD E LTD,110933,4013,0,local_bus,local_bus1,,1_4013
936,KT017,17 KITSP MALL LTD,110936,4017,0,local_bus,local_bus1,,1_4017
966,KT034,34 BANGOR SHUTTLE,110966,4034,0,premium_bus,premium_bus1,,1_4034
968,KT091,91 KINGSTN-BAINBR,110968,4091,0,premium_bus,premium_bus1,,1_4091
974,KT093,93 MANZANITA,110974,4093,0,local_bus,local_bus1,,1_4093
986,KT032,32 POULSBO-SLVRDL SB,110986,4032,0,local_bus,local_bus1,,1_4032
996,KT090,90 POUL JCT-BAINB EB,110996,4090,0,local_bus,local_bus1,,1_4090
209,MK057,57 AKJCT-ADM-SCBD N*,110209,1057,0,local_bus,local_bus1,,1_1057
210,MK057,57 AKJCT-ADM-SCBD N*,110210,1057,0,local_bus,local_bus1,,1_1057
731,ST595,595 GigHarbor-Seatt*,110731,6595,0,premium_bus,premium_bus1,,1_6595
942,KT022,22 GATEWAY EXPRSS,110942,4022,0,premium_bus,premium_bus1,,1_4022
945,KT025,25 EAST PARK,110945,4025,0,local_bus,local_bus1,,1_4025
947,KT026,26 WEST PARK,110947,4026,0,local_bus,local_bus1,,1_4026
1005,KTWD14,WD14 CAMP UNION EB,111005,4214,0,local_bus,local_bus1,,1_4214
1006,KTWD15,WD15 CENT VL LOOP SB,111006,4215,0,local_bus,local_bus1,,1_4215
1007,KTWD16,WD16 FRGRND OVRLD SB,111007,4216,0,local_bus,local_bus1,,1_4216
1008,KTWD17,WD17 FOSTERWOOD SB,111008,4217,0,local_bus,local_bus1,,1_4217
