fare_id,fare_class,start_time,end_time,price,source,,,,
BAIN_SEA_FERRY,BAIN_SEA_FERRY,12:00 AM,11:59 PM,4.05,WADOT ferry,http://www.wsdot.com/ferries/schedule/ScheduleDetailByRoute.aspx?route=sea-bi ,,,
SEA_BAIN_FERRY,SEA_BAIN_FERRY,12:00 AM,11:59 PM,4.05,WADOT ferry,,,,
BREM_PO_FERRY,BREM_PO_FERRY,12:00 AM,11:59 PM,2,Kitsap Transit,http://www.kitsaptransit.com/service/foot-ferry ,,,
BREM_SEA_FERRY,BREM_SEA_FERRY,12:00 AM,11:59 PM,4.05,WADOT ferry,,,,
SEA_BREM_FERRY,SEA_BREM_FERRY,12:00 AM,11:59 PM,4.05,WADOT ferry,,,,
CT_COMMUTER,CT_COMMUTER,12:00 AM,11:59 PM,4.25,*assume this is the Commuter-South/Everett,https://communitytransit.org/fares/faresandpasses/ ,,,
CT_LOCAL,CT_LOCAL,12:00 AM,11:59 PM,2.25,Community Transit,,,,
CT_NE_COMMUTER,CT_NE_COMMUTER,12:00 AM,11:59 PM,5.5,Community Transit,,,,
EDMONDS_KINGSTON_FERRY,EDMONDS_KINGSTON_FERRY,12:00 AM,11:59 PM,4.05,WADOT ferry,,,,
KINGSTON_EDMONDS_FERRY,KINGSTON_EDMONDS_FERRY,12:00 AM,11:59 PM,4.05,WADOT ferry,,,,
FOUNT_SOUTHWORTH_FERRY,FOUNT_SOUTHWORTH_FERRY,12:00 AM,11:59 PM,3.15,WADOT ferry,,,,
SOUTHWORTH_FOUNT_FERRY,SOUTHWORTH_FOUNT_FERRY,12:00 AM,11:59 PM,3.15,WADOT ferry,,,,
FOUNT_VASHON_FERRY,FOUNT_VASHON_FERRY,12:00 AM,11:59 PM,2.63,WADOT ferry,,,,
VASHON_FOUNT_FERRY,VASHON_FOUNT_FERRY,12:00 AM,11:59 PM,2.63,WADOT ferry,,,,
KITSAP,KITSAP,12:00 AM,11:59 PM,2,Kitsap Transit,http://www.kitsaptransit.com/fares/fares ,,,
METRO_1Z,METRO_1Z_AM_PEAK,6:00 AM,9:00 AM,2.75,King County Metro,http://metro.kingcounty.gov/fares/ ,,,
METRO_1Z,METRO_1Z_PM_PEAK,3:00 PM,6:00 PM,2.75,King County Metro,,,,
METRO_1Z,METRO_1Z_MD_OFF_PEAK,9:00 AM,3:00 PM,2.5,King County Metro,,,,
METRO_1Z,METRO_1Z_NT_OFF_PEAK,6:00 PM,6:00 AM,2.5,King County Metro,,,,
METRO_2Z,METRO_2Z_AM_PEAK,6:00 AM,9:00 AM,3.25,King County Metro,,,,
METRO_2Z,METRO_2Z_PM_PEAK,3:00 PM,6:00 PM,3.25,King County Metro,,,,
METRO_2Z,METRO_2Z_MD_OFF_PEAK,9:00 AM,3:00 PM,2.5,King County Metro,,,,
METRO_2Z,METRO_2Z_NT_OFF_PEAK,6:00 PM,6:00 AM,2.5,King County Metro,,,,
MONORAIL,MONORAIL,12:00 AM,11:59 PM,2.25,Monorail,http://www.seattlemonorail.com/information/ ,,,
PIERCE,PIERCE,12:00 AM,11:59 PM,2,Pierce Transit,http://www.piercetransit.org/PT-fares/ ,,, 
PTDEF_VASHION_FERRY,PTDEF_VASHION_FERRY,12:00 AM,11:59 PM,2.63,WADOT ferry,,,,
VASHON_PTDEF_FERRY,VASHON_PTDEF_FERRY,12:00 AM,11:59 PM,2.63,WADOT ferry,,,,
SEATTLE_VASHON_FERRY,SEATTLE_VASHON_FERRY,12:00 AM,11:59 PM,2.63,WADOT ferry,,,,
VASHON_SEATTLE_FERRY,VASHON_SEATTLE_FERRY,12:00 AM,11:59 PM,2.63,WADOT ferry,,,,
SOUTHWORTH_VASHON_FERRY,SOUTHWORTH_VASHON_FERRY,12:00 AM,11:59 PM,2.63,WADOT ferry,,,,
VASHON_SOUTHWORTH_FERRY,VASHON_SOUTHWORTH_FERRY,12:00 AM,11:59 PM,2.63,WADOT ferry,,,,
ST_EXPRESS_1Z,ST_EXPRESS_1Z,12:00 AM,11:59 PM,2.5,Sound Transit,http://m.soundtransit.org/Fares-and-Passes/ST-Express-bus-fares ,,,
ST_EXPRESS_2Z,ST_EXPRESS_2Z,12:00 AM,11:59 PM,3.5,Sound Transit,,,,
WS_SEATTLE_FOOT_FERRY,WS_SEATTLE_FOOT_FERRY,12:00 AM,11:59 PM,2,Kitsap Transit,http://www.kitsaptransit.com/fares/fares ,,,
ST_LR_1Z,,,,,Sound Transit,http://m.soundtransit.org/Fares-and-Passes/Link-fares ,,,
ST_LR_2Z,,,,,Sound Transit,,,,
ST_LR_3Z,,,,,Sound Transit,,,,
